Name;Place;Type;Price;Stars;Rating;City
BUNK Hotel Amsterdam;Amsterdam Noord, Amsterdam;Bunk Pod for 2;7,887;4;8,4;Amsterdam Noord
YOTEL Amsterdam;Amsterdam Noord, Amsterdam;Premium Double Room;15,267;5;8,1;Amsterdam Noord
Multatuli Hotel;Amsterdam City Center, Amsterdam;Double Room;13,063;5;7,4;Amsterdam City Center
nhow Amsterdam Rai;Zuideramstel, Amsterdam;nhow Double or Twin Room with View;12,854;4;9;Zuideramstel
Motel One Amsterdam;Zuideramstel, Amsterdam;Double Room;9,471;3;8,8;Zuideramstel
INNSiDE by Meliá Amsterdam;Zuideramstel, Amsterdam;The Innside Guestroom;14,123;5;8,4;Zuideramstel
Eden Hotel Amsterdam;Amsterdam City Center, Amsterdam;Small Double Room;20,060;5;8,3;Amsterdam City Center
citizenM Amsterdam South;Zuideramstel, Amsterdam;King Room;14,206;5;8,8;Zuideramstel
The Alfred Hotel;Oud Zuid, Amsterdam;Standard Double Room;12,655;5;7,3;Oud Zuid
Andaz Amsterdam Prinsengracht - a concept by Hyatt;Amsterdam City Center, Amsterdam;Observatory King;45,038;5;8,9;Amsterdam City Center
Hyatt Regency Amsterdam;Amsterdam City Center, Amsterdam;Twin Room;31,228;5;8,5;Amsterdam City Center
NH Collection Amsterdam Flower Market;Amsterdam City Center, Amsterdam;Superior Double or Twin Room;29,391;5;8,6;Amsterdam City Center
ibis Styles Amsterdam Central Station;Amsterdam City Center, Amsterdam;Small Double Room;17,798;5;7,9;Amsterdam City Center
Leonardo Royal Hotel Amsterdam;Oost, Amsterdam;Queen Room - Disability Access;11,336;5;8,5;Oost
Rho Hotel;Amsterdam City Center, Amsterdam;Standard Double or Twin Room;18,778;5;8;Amsterdam City Center
Leonardo Boutique Museumhotel;Oud Zuid, Amsterdam;Double or Twin Room;15,357;4;7,9;Oud Zuid
Hotel V Nesplein;Amsterdam City Center, Amsterdam;Comfort Double or Twin Room;21,917;5;8,9;Amsterdam City Center
Kimpton De Witt Amsterdam, an IHG Hotel;Amsterdam City Center, Amsterdam;1 Queen or King Bed Essential Room;34,617;5;8,8;Amsterdam City Center
Qbic Hotel WTC Amsterdam;Zuideramstel, Amsterdam;Standard Double Room - No Window;8,083;4;7,9;Zuideramstel
Hotel Espresso;Oud West, Amsterdam;Small Double Room;12,992;4;7,8;Oud West
Hotel Central Park;Oud Zuid, Amsterdam;Double Room;6,794;4;6,8;Oud Zuid
The White Tulip Hostel;Amsterdam City Center, Amsterdam;Standard Twin Bunk with Shared Bathroom;12,246;5;7;Amsterdam City Center
Swissôtel Amsterdam;Amsterdam City Center, Amsterdam;Classic Double Room;21,195;5;8,6;Amsterdam City Center
Holiday Inn Express Amsterdam - City Hall, an IHG Hotel;Amsterdam City Center, Amsterdam;Double Room;17,308;5;8,4;Amsterdam City Center
Hotel Atlantis Amsterdam;Oud Zuid, Amsterdam;Twin Room;9,229;4;7,4;Oud Zuid
Holiday Home Green Resort Mooi Bemelen-19;Bemelen;Holiday Home;20,982;5;10;Bemelen
Resort Mooi Bemelen;Bemelen;Two-Bedroom House;11,838;4;8,1;Bemelen
Anja's House;Breda;Double Room with Shared Bathroom;7,136;4;9,2;Breda
B&B de Druif;Breda;Two-Bedroom Apartment;7,887;4;9,1;Breda
Cottage Markdal;Breda;Two-Bedroom House;11,757;4;9,2;Breda
Cosy Nock ! Little Gem at City Center with Large Terrace !;Breda;One-Bedroom Apartment;19,529;4;9,4;Breda
Boutique Hotel Het Scheepshuys;Breda;Small Double Room with Shared Bathroom;6,940;5;8,7;Breda
B&B de Bievangh;Breda;Double Room with Private Bathroom;6,948;4;8,5;Breda
Hotel Sutor;Breda;Double Room;8,287;4;8,6;Breda
Hotel Nassau Breda, Autograph Collection;Breda;Superior, Guest room, 1 King;10,340;4;8,9;Breda
Bliss Boutique Hotel;Breda;Suite;15,920;5;8,9;Breda
Golden Tulip Keyser Breda Centre;Breda;Comfort Twin Room;8,381;4;8,2;Breda
Leonardo Hotel Breda City Center;Breda;Deluxe Double or Twin Room;9,396;4;8,1;Breda
Boutique Nouveau Van Ham;Breda;Classic Double Room;9,539;5;8,4;Breda
Ingenhousz Breda;Breda;Standard Suite;10,140;4;8,4;Breda
Van der Valk Hotel Breda;Breda;Comfort Double Room with Shower;11,430;4;8;Breda
Parkhotel Mastbosch Breda;Breda;Standard Twin Room;8,187;4;7,7;Breda
Stadshotel De Klok;Breda;Standard Twin Room;10,973;4;7,9;Breda
Campanile Hotel & Restaurant Breda;Breda;Double Room;6,129;4;7,2;Breda
Bastion Hotel Breda;Breda;Comfort Twin Room;7,266;4;7,4;Breda
Novotel Breda;Breda;Superior Double Room with Sofa Bed;8,899;4;7,3;Breda
Premiere Classe Hotel Breda;Breda;Double Room;3,988;4;6,5;Breda
Hotel Arsenaal Delft;Delft;Double or Twin Room;13,267;4;9,2;Delft
The Student Hotel Delft;Delft;Superior Queen Room;6,287;4;8,8;Delft
WestCord Hotel Delft;Delft;Twin Standard;8,743;4;8,7;Delft
Hotel de Koophandel;Delft;Double Room;9,797;4;8,7;Delft
Casa Julia;Delft;Deluxe Double Room;11,530;5;8,7;Delft
Luxurious loft with view walk city center;Delft;One-Bedroom Apartment;19,168;5;8,6;Delft
De Vliegende Vos het geboortehuis van Johannes Vermeer;Delft;Family Suite;19,594;5;8,8;Delft
City Center Penthouse With Balcony Delft;Delft;One-Bedroom Apartment;20,535;4;8,9;Delft
Hotel Grand Canal;Delft;Small Double Room with Canal View;7,616;4;8,4;Delft
Hampshire Hotel - Delft Centre;Delft;Standard Twin Room;8,377;4;8,2;Delft
Hotel Royal Bridges;Delft; Deluxe double or Twin Room;8,817;5;8,3;Delft
Hotel de Plataan Delft Centrum;Delft;Basic Double Room;9,389;5;8,1;Delft
Buitengoed De Uylenburg;Delft;Double Room;9,797;5;8,3;Delft
ibis Styles Delft City Centre;Delft;Standard Double Room with City View;10,001;4;8,1;Delft
Hotel Johannes Vermeer Delft;Delft;Deluxe Double Room;10,716;5;8,3;Delft
Lux Loft Apt View Walk city center;Delft;One-Bedroom Apartment;24,046;5;8,1;Delft
Shanghai Hotel Holland;Delft;Double Room;7,023;5;7,6;Delft
Best Western Museumhotels Delft;Delft;Standard Twin Room;7,722;4;7,9;Delft
Hotel Bridges House Delft;Delft;Deluxe Double Room with Shower;8,397;5;7,9;Delft
Campanile Hotel & Restaurant Delft;Delft;Double Room;5,515;4;7,1;Delft
Uylenhof Hotel;Den Bosch;Double Room;12,165;5;9,2;Den Bosch
Boutique Hotel De Blauwe Pauw;Den Bosch;Superior Twin Room;12,655;5;9,4;Den Bosch
Bossche Suites Stationsweg;Den Bosch;Standard King Room;14,500;5;9,4;Den Bosch
Bossche Suites No2 - Verwersstraat;Den Bosch;Studio;19,594;5;9,3;Den Bosch
CubaCasa;Den Bosch;Deluxe Double Room with Balcony;8,940;5;8,6;Den Bosch
Hotel The Stamp;Den Bosch;Superior Double Room;9,699;4;8,7;Den Bosch
Maison BON Apartments;Den Bosch;Two-Bedroom Apartment;11,922;4;8,9;Den Bosch
The Duke Boutique Apartments;Den Bosch;One-Bedroom Apartment;11,250;4;8,5;Den Bosch
Boutique hotel Jeroen;Den Bosch;Small Double Room;12,221;4;8,5;Den Bosch
The Duke Boutique Hotel;Den Bosch;Comfort Double Room;11,499;4;8,6;Den Bosch
Hotel 't Keershuys;Den Bosch;Double Room;12,022;4;8,9;Den Bosch
KASerne Boutique Hotel;Den Bosch;Deluxe Double Room;14,108;4;8,7;Den Bosch
Kloosterhotel de Soete Moeder;Den Bosch;Comfort Double or Twin Room with Private Bathroom;9,013;4;8,3;Den Bosch
The Den, 's-Hertogenbosch, a Tribute Portfolio Hotel;Den Bosch;Deluxe Twin Room;8,952;4;8,3;Den Bosch
Landgoed Huize Bergen Den Bosch - Vught;Den Bosch;Double Room;10,238;4;8;Den Bosch
Best Western Plus City Centre Hotel Den Bosch;Den Bosch;Comfort Twin Room;11,922;4;8,4;Den Bosch
Tussen Gracht en SintJan;Den Bosch;Studio;14,614;5;8;Den Bosch
Mövenpick Hotel 's Hertogenbosch;Den Bosch;Classic King Room;10,948;5;7,7;Den Bosch
Van der Valk Hotel 's-Hertogenbosch – Vught;Den Bosch;Triple Room;11,838;5;7,9;Den Bosch
Mely's House;Den Bosch;Deluxe Double Room (2 Adults + 1 Child);6,531;5;7;Den Bosch
Little Duke Hotel;Den Bosch;Deluxe Double Room with Balcony;11,023;5;7,4;Den Bosch
Fletcher Hotel-Restaurant ‘s-Hertogenbosch;Den Bosch;Standard Double Room;6,450;5;6,5;Den Bosch
Campanile Hotel & Restaurant 's Hertogenbosch;Den Bosch;Double Room;6,577;5;6,6;Den Bosch
Hof, a luxury B&B in the center of Eindhoven;Strijp, Eindhoven;Deluxe Suite;13,145;5;9,7;Strijp
Eindhoven4you;Strijp, Eindhoven;Twin Room with Bathroom;5,108;5;9,1;Strijp
Kazerne;Eindhoven City Centre, Eindhoven;Deluxe King Room;20,941;5;9,1;Eindhoven City Centre
cafe 't Vonderke;Strijp, Eindhoven;Deluxe Double or Twin Room;5,713;5;8,7;Strijp
Queen Hotel;Eindhoven City Centre, Eindhoven;King Room;6,127;5;8,8;Eindhoven City Centre
Hotel Parkzicht Eindhoven;Stratum, Eindhoven;Comfort Double Room;6,234;5;8,6;Stratum
The Student Hotel Eindhoven;Eindhoven City Centre, Eindhoven;Standard Queen Room;6,287;5;8,8;Eindhoven City Centre
Hotel the Match;Eindhoven City Centre, Eindhoven;Standard Double Room;6,450;5;8,7;Eindhoven City Centre
Design Hotel Glow;Eindhoven City Centre, Eindhoven;Deluxe Twin Room;6,692;5;8,5;Eindhoven City Centre
Hotel Mariënhage;Eindhoven City Centre, Eindhoven;Monastery Mystery;9,169;5;8,6;Eindhoven City Centre
Hotel Piet Hein Eek;Strijp, Eindhoven;Small Double Room;10,546;5;8,7;Strijp
